situation,formation,gameState,timing,shotZone,attackSpeed,result
"{'shots': 442, 'goals': 63, 'xG': 69.20828912593424, 'against': {'shots': 266, 'goals': 15, 'xG': 29.722164297942072}}",,,,,,
"{'shots': 90, 'goals': 5, 'xG': 10.585602858103812, 'against': {'shots': 48, 'goals': 2, 'xG': 2.9306608363986015}}",,,,,,
"{'shots': 20, 'goals': 0, 'xG': 1.4162063486874104, 'against': {'shots': 6, 'goals': 0, 'xG': 0.38870978355407715}}",,,,,,
"{'shots': 20, 'goals': 2, 'xG': 2.2942215902730823, 'against': {'shots': 11, 'goals': 0, 'xG': 1.2100251084193587}}",,,,,,
"{'shots': 2, 'goals': 0, 'xG': 1.486556053161621, 'against': {'shots': 3, 'goals': 3, 'xG': 2.229833662509918}}",,,,,,
,"{'stat': '4-3-3', 'time': 3188, 'shots': 518, 'goals': 61, 'xG': 77.8429112052545, 'against': {'shots': 290, 'goals': 17, 'xG': 32.087041940540075}}",,,,,
,"{'stat': '4-2-3-1', 'time': 189, 'shots': 29, 'goals': 4, 'xG': 4.142431088723242, 'against': {'shots': 15, 'goals': 2, 'xG': 2.1006769575178623}}",,,,,
,"{'stat': '3-2-4-1', 'time': 104, 'shots': 21, 'goals': 3, 'xG': 2.1656230688095093, 'against': {'shots': 12, 'goals': 1, 'xG': 1.138683494180441}}",,,,,
,"{'stat': '4-4-1-1', 'time': 96, 'shots': 6, 'goals': 2, 'xG': 0.8399106133729219, 'against': {'shots': 15, 'goals': 0, 'xG': 1.0518277934752405}}",,,,,
,"{'stat': '3-1-4-2', 'time': 12, 'shots': 0, 'goals': 0, 'xG': 0, 'against': {'shots': 2, 'goals': 0, 'xG': 0.10316350311040878}}",,,,,
,,"{'stat': 'Goal diff 0', 'time': 1599, 'shots': 258, 'goals': 30, 'xG': 33.22519348189235, 'against': {'shots': 112, 'goals': 8, 'xG': 11.46842720778659}}",,,,
,,"{'stat': 'Goal diff +1', 'time': 813, 'shots': 110, 'goals': 15, 'xG': 16.544381834566593, 'against': {'shots': 105, 'goals': 2, 'xG': 10.364775695838034}}",,,,
,,"{'stat': 'Goal diff > +1', 'time': 660, 'shots': 125, 'goals': 18, 'xG': 26.174807662144303, 'against': {'shots': 74, 'goals': 3, 'xG': 7.66055861627683}}",,,,
,,"{'stat': 'Goal diff -1', 'time': 341, 'shots': 52, 'goals': 2, 'xG': 5.144271671772003, 'against': {'shots': 31, 'goals': 6, 'xG': 5.096501287538558}}",,,,
,,"{'stat': 'Goal diff < -1', 'time': 176, 'shots': 29, 'goals': 5, 'xG': 3.9022213257849216, 'against': {'shots': 12, 'goals': 1, 'xG': 1.891130881384015}}",,,,
,,,"{'stat': '1-15', 'shots': 81, 'goals': 7, 'xG': 10.29778822697699, 'against': {'shots': 45, 'goals': 6, 'xG': 5.558322167024016}}",,,
,,,"{'stat': '16-30', 'shots': 113, 'goals': 12, 'xG': 15.27059992775321, 'against': {'shots': 36, 'goals': 3, 'xG': 4.415916852653027}}",,,
,,,"{'stat': '31-45', 'shots': 86, 'goals': 15, 'xG': 14.502081850543618, 'against': {'shots': 55, 'goals': 2, 'xG': 5.009167381562293}}",,,
,,,"{'stat': '46-60', 'shots': 99, 'goals': 9, 'xG': 12.972575436346233, 'against': {'shots': 50, 'goals': 1, 'xG': 3.878360374365002}}",,,
,,,"{'stat': '61-75', 'shots': 89, 'goals': 11, 'xG': 15.754497114568949, 'against': {'shots': 46, 'goals': 5, 'xG': 5.5645490805618465}}",,,
,,,"{'stat': '76+', 'shots': 106, 'goals': 16, 'xG': 16.193333419971168, 'against': {'shots': 102, 'goals': 3, 'xG': 12.055077832657844}}",,,
,,,,"{'stat': 'ownGoals', 'shots': 1, 'goals': 1, 'xG': 1, 'against': {'shots': 3, 'goals': 3, 'xG': 3}}",,
,,,,"{'stat': 'shotOboxTotal', 'shots': 161, 'goals': 2, 'xG': 6.830576482228935, 'against': {'shots': 93, 'goals': 3, 'xG': 2.7897906922735274}}",,
,,,,"{'stat': 'shotPenaltyArea', 'shots': 358, 'goals': 50, 'xG': 53.345338757149875, 'against': {'shots': 221, 'goals': 13, 'xG': 25.94463576748967}}",,
,,,,"{'stat': 'shotSixYardBox', 'shots': 54, 'goals': 17, 'xG': 23.81496073678136, 'against': {'shots': 17, 'goals': 1, 'xG': 4.746967229060829}}",,
,,,,,"{'stat': 'Normal', 'shots': 375, 'goals': 56, 'xG': 58.80371720716357, 'against': {'shots': 208, 'goals': 6, 'xG': 19.64836398139596}}",
,,,,,"{'stat': 'Standard', 'shots': 132, 'goals': 7, 'xG': 15.782586850225925, 'against': {'shots': 68, 'goals': 5, 'xG': 6.759229390881956}}",
,,,,,"{'stat': 'Slow', 'shots': 41, 'goals': 3, 'xG': 4.470201434567571, 'against': {'shots': 25, 'goals': 3, 'xG': 4.558999980799854}}",
,,,,,"{'stat': 'Fast', 'shots': 26, 'goals': 4, 'xG': 5.9343704842031, 'against': {'shots': 33, 'goals': 6, 'xG': 5.5148003357462585}}",
,,,,,,"{'shots': 145, 'goals': 0, 'xG': 10.706469178199768, 'against': {'shots': 90, 'goals': 0, 'xG': 5.824315324425697}}"
,,,,,,"{'shots': 70, 'goals': 70, 'xG': 28.952700845897198, 'against': {'shots': 20, 'goals': 20, 'xG': 8.806410919874907}}"
,,,,,,"{'shots': 118, 'goals': 0, 'xG': 15.095673098228872, 'against': {'shots': 85, 'goals': 0, 'xG': 9.126717272680253}}"
,,,,,,"{'shots': 226, 'goals': 0, 'xG': 25.62344352994114, 'against': {'shots': 133, 'goals': 0, 'xG': 12.100901311263442}}"
,,,,,,"{'shots': 15, 'goals': 0, 'xG': 4.612589323893189, 'against': {'shots': 6, 'goals': 0, 'xG': 0.6230488605797291}}"
